NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
0,* Reinaldo Santana Pagan,7/21,5/14,2/7,5/5,21,21.0,2,2.0,2,2.0,4,4.0,3,3.0,3,3.0,2,2.0,1,1.0,1,1.0,0,0.0,1855,1
1,Ricardo Burgos Rivera,1/1,1/1,0/0,0/2,2,2.0,2,2.0,1,1.0,3,3.0,4,4.0,1,1.0,0,0.0,2,2.0,0,0.0,1,1.0,452,1
2,Miguel Luna Laboy,0/3,0/2,0/1,0/0,0,0.0,3,3.0,0,0.0,3,3.0,2,2.0,0,0.0,0,0.0,2,2.0,0,0.0,1,1.0,785,1
3,* Yahil Rivera Cintron,7/17,6/14,1/3,8/10,23,23.0,5,5.0,4,4.0,9,9.0,4,4.0,11,11.0,5,5.0,1,1.0,0,0.0,1,1.0,1787,1
5,Sebastian Velazquez Arroyo,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
6,Joen E. Rivera Morales,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
10,* Ricardo Alvarado Rivera,4/18,1/7,3/11,0/0,11,11.0,0,0.0,1,1.0,1,1.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,1601,1
11,Janpier Lezcano Pabey,1/6,0/3,1/3,2/4,5,5.0,1,1.0,3,3.0,4,4.0,2,2.0,3,3.0,5,5.0,0,0.0,1,1.0,1,1.0,1156,1
12,Jovadiel Irrizary Ocasio,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
13,Yeriel Rosado Lopez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
14,Keyvan Mercado Santos,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
15,Roggny Santiago Lugo,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
21,* Ansel Arizmendi Ocasio,1/3,1/2,0/1,0/0,2,2.0,1,1.0,0,0.0,1,1.0,4,4.0,0,0.0,1,1.0,0,0.0,0,0.0,2,2.0,747,1
27,Gabriel Torres Ortolaza,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
91,* Ismael Matias Bonilla,1/3,1/3,0/0,0/0,2,2.0,5,5.0,2,2.0,7,7.0,4,4.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,1217,1
